"","Popular_Product","Predicted_Product","Frequency"
"1099",23,"49",0
"1100",24,"49",0
"1101",28,"49",0
"1102",29,"49",0
"1103",31,"49",0
"1104",32,"49",0
"1105",34,"49",0
"1106",36,"49",0
"1107",37,"49",0
"1108",38,"49",0
"1109",46,"49",0
"1110",48,"49",0
"1111",49,"49",0
"1112",51,"49",0
"1113",54,"49",0
"1114",57,"49",0
"1115",59,"49",0
"1116",60,"49",0
"1117",1,"51",0
"1118",2,"51",0
"1119",3,"51",0
"1120",4,"51",0
"1121",5,"51",0
"1122",6,"51",0
"1123",7,"51",0
"1124",8,"51",0
"1125",9,"51",0
"1126",10,"51",0
"1127",11,"51",0
"1128",12,"51",0
"1129",13,"51",0
"1130",15,"51",0
"1131",16,"51",0
"1132",17,"51",0
"1133",21,"51",0
"1134",22,"51",0
"1135",23,"51",0
"1136",24,"51",0
"1137",28,"51",0
"1138",29,"51",0
"1139",31,"51",0
"1140",32,"51",0
"1141",34,"51",0
"1142",36,"51",0
"1143",37,"51",0
"1144",38,"51",0
"1145",46,"51",0
"1146",48,"51",0
"1147",49,"51",0
"1148",51,"51",0
"1149",54,"51",0
"1150",57,"51",0
"1151",59,"51",0
"1152",60,"51",0
"1153",1,"54",0
"1154",2,"54",0
"1155",3,"54",0
"1156",4,"54",0
"1157",5,"54",0
"1158",6,"54",0
"1159",7,"54",0
"1160",8,"54",0
"1161",9,"54",0
"1162",10,"54",0
"1163",11,"54",0
"1164",12,"54",0
"1165",13,"54",0
"1166",15,"54",0
"1167",16,"54",0
"1168",17,"54",0
"1169",21,"54",0
"1170",22,"54",0
"1171",23,"54",0
"1172",24,"54",0
"1173",28,"54",0
"1174",29,"54",0
"1175",31,"54",0
"1176",32,"54",0
"1177",34,"54",0
"1178",36,"54",0
"1179",37,"54",0
"1180",38,"54",0
"1181",46,"54",0
"1182",48,"54",0
"1183",49,"54",0
"1184",51,"54",0
"1185",54,"54",0
"1186",57,"54",0
"1187",59,"54",0
"1188",60,"54",0
"1189",1,"57",0
"1190",2,"57",0
"1191",3,"57",0
"1192",4,"57",0
"1193",5,"57",0
"1194",6,"57",0
"1195",7,"57",0
"1196",8,"57",0
"1197",9,"57",0
"1198",10,"57",0
"1199",11,"57",0
"1200",12,"57",0
"1201",13,"57",0
"1202",15,"57",0
"1203",16,"57",0
"1204",17,"57",0
"1205",21,"57",0
"1206",22,"57",0
"1207",23,"57",0
"1208",24,"57",0
"1209",28,"57",0
"1210",29,"57",0
"1211",31,"57",0
"1212",32,"57",0
"1213",34,"57",0
"1214",36,"57",0
"1215",37,"57",0
"1216",38,"57",0
"1217",46,"57",0
"1218",48,"57",0
"1219",49,"57",0
"1220",51,"57",0
"1221",54,"57",0
"1222",57,"57",0
"1223",59,"57",0
"1224",60,"57",0
"1225",1,"59",0
"1226",2,"59",0
"1227",3,"59",0
"1228",4,"59",0
"1229",5,"59",0
"1230",6,"59",0
"1231",7,"59",0
"1232",8,"59",0
"1233",9,"59",0
"1234",10,"59",0
"1235",11,"59",0
"1236",12,"59",0
"1237",13,"59",0
"1238",15,"59",0
"1239",16,"59",0
"1240",17,"59",0
"1241",21,"59",0
"1242",22,"59",0
"1243",23,"59",0
"1244",24,"59",0
"1245",28,"59",0
"1246",29,"59",0
"1247",31,"59",0
"1248",32,"59",0
"1249",34,"59",0
"1250",36,"59",0
"1251",37,"59",0
"1252",38,"59",0
"1253",46,"59",0
"1254",48,"59",0
"1255",49,"59",0
"1256",51,"59",0
"1257",54,"59",0
"1258",57,"59",0
"1259",59,"59",0
"1260",60,"59",0
"1261",1,"60",0
"1262",2,"60",0
"1263",3,"60",0
"1264",4,"60",0
"1265",5,"60",0
"1266",6,"60",0
"1267",7,"60",0
"1268",8,"60",0
"1269",9,"60",0
"1270",10,"60",0
"1271",11,"60",0
"1272",12,"60",0
"1273",13,"60",0
"1274",15,"60",0
"1275",16,"60",0
"1276",17,"60",0
"1277",21,"60",0
"1278",22,"60",0
"1279",23,"60",0
"1280",24,"60",0
"1281",28,"60",0
"1282",29,"60",0
"1283",31,"60",0
"1284",32,"60",0
"1285",34,"60",0
"1286",36,"60",0
"1287",37,"60",0
"1288",38,"60",0
"1289",46,"60",0
"1290",48,"60",0
"1291",49,"60",0
"1292",51,"60",0
"1293",54,"60",0
"1294",57,"60",0
"1295",59,"60",0
"1296",60,"60",0
